group_name,latitude,longitude
0068,52.34212777777778,4.847963888888889
0032,52.38014444444445,4.888230555555555
0069,52.34212777777778,4.847963888888889
0033,52.38014444444445,4.888230555555555
0005,52.36386388888889,4.908641666666667
0027,52.38426111111111,4.88718611111111
0011,52.36461666666667,4.889013888888888
0028,52.38426111111111,4.88718611111111
0010,52.36461666666667,4.889013888888888
0072,52.367491666666666,4.862511111111111
0007,52.36386388888889,4.908641666666667
0031,52.38014444444445,4.888230555555555
0008,52.36386388888889,4.908641666666667
0070,52.34212777777778,4.847963888888889
0012,52.36461666666667,4.889013888888888
0071,52.367491666666666,4.862511111111111
0141,52.35183333333333,4.875100000000001
0115,52.36497777777778,4.904466666666667
0123,52.358325,4.889525
0124,52.358325,4.889525
0147,52.34786666666667,4.859055555555555
0140,52.35183333333333,4.875100000000001
0114,52.36497777777778,4.904466666666667
0109,52.361472222222226,4.902288888888889
0107,52.36067777777778,4.886575
0153,52.34950833333333,4.9086083333333335
0154,52.36176666666667,4.903219444444445
0106,52.36067777777778,4.886575
0101,52.36875833333333,4.876200000000001
0108,52.36067777777778,4.886575
0130,52.34350833333333,4.851469444444444
0155,52.36176666666667,4.903219444444445
0152,52.34950833333333,4.9086083333333335
0116,52.36497777777778,4.904466666666667
0129,52.34350833333333,4.851469444444444
0120,52.364447222222225,4.923316666666667
0142,52.35183333333333,4.875100000000001
0119,52.364447222222225,4.923316666666667
0110,52.361472222222226,4.902288888888889
0128,52.34350833333333,4.851469444444444
0143,52.35183333333333,4.875100000000001
0144,52.35183333333333,4.875100000000001
0104,52.36346944444445,4.880858333333334
0102,52.36875833333333,4.876200000000001
0105,52.36346944444445,4.880858333333334
0133,52.34786666666667,4.859055555555555
